Country,Year,bank_capital_to_assets_ratio_percent,bank_nonperforming_loans_to_total_gross_loans_percent,GNI.2010,Gov.cons.growth,Gov.cons.share,GNI.pc.growth,Gross.capital.formation.growth,Gross.capital.formation.share,Gross.domestic.savings.share,Gross.fixed.capital.growth,Gross.fixed.capital.share,Gross.national.expenditure.share,Gross.savings.share,Gross.savings.gni,Net.lending.borrowing.share
GBR,2017,5.38635847573106,1.35973989613413,114.943591640466,0.6538528483232824,18.65932094491093,2.966513702460858,2.038992395888812,18.48318496870561,17.1422370037292,3.502446908148386,18.24803287615451,101.3409479649764,14.99063669565374,15.15368667996961,-3.447520794897627
GBR,2018,5.57713061491611,1.09642089877808,117.579064176068,0.6228657295097122,18.54129342323389,0.6087744668585913,0.3727198866455552,18.18144648711334,16.79902095614746,-0.456285549189829,17.99578498204714,101.3824255309659,14.25387513050313,14.45027578653665,-3.895685739560954
GBR,2019,5.52661454255839,1.01809935045005,119.622711300166,4.003452232409302,19.09610948641425,2.619963965581931,2.530358307197901,18.37867140333073,16.98309832800712,2.133697163980088,18.19325750552504,101.3955730753236,15.68814831200901,15.70399345660059,-3.588622874309342
GBR,2020,5.48180834484105,0.98332463109975,120.806362123174,-7.882238588640092,22.61094202671185,-11.90076621384996,-11.52549598373882,17.58114862661316,18.13960254548877,-9.678661097617052,17.51107447351682,99.44154608112437,14.64764304627193,14.96758213574993,-14.96030874462678
GBR,2021,5.25249707507849,0.969313241835594,123.848714629184,14.89768862482177,22.25938566552901,11.14013514025136,10.18531408777854,18.02690995011814,17.80292290189901,7.581766722864273,17.71864881421195,100.2239870482191,17.5915982950083,17.48714523662675,-9.338015227093726
GBR,2022,6.45969816305566,0.947024551170098,133.660070279268,2.253327587003497,20.82750824484213,2.407764422994944,2.22636262722871,17.93813241461859,16.19199122238987,5.12001306220813,17.85489236186426,101.7461411922287,15.83350872234621,15.74742987640517,-5.673068854525045
GBR,2023,6.08491069986395,0.975801553144037,142.740891437026,0.5237347792885743,20.54732524707831,-1.538320323172726,-3.835222960787547,17.21867006493471,16.26705665603786,0.3156791881700798,17.63210551843567,100.9516134088968,15.06054124954841,15.13071484836344,-6.858956507947632
GBR,2024,,,147.410763824672,,,,7.97406232519107,17.89624582907896,16.89185752733525,1.452769606361315,17.40259257401554,101.0043883017437,15.37120467622586,15.50748457997081,
GRC,2015,10.1669047034253,35.7068688820245,100.771321684226,2.715721343228068,20.76798374625216,1.417759230966851,0.6886014799838449,12.00840978442427,11.10936318004544,0.1816477593607857,11.16109419691436,100.8990466043788,10.05083971431578,10.12871820591212,-6.185459615917115
GRC,2016,10.4331869506799,37.3561319650912,99.9392992576633,-0.1090711872984826,20.61806031401244,0.4618889927731544,4.227789344596772,12.46808615406345,11.1691955981084,2.56856730412926,11.3684708155605,101.298890555955,9.703137903789045,9.814077001893656,-0.1060486814465854
