Country,Year,Adjustment.for.the.change.in.net.equity.of.households.in.pension.fund.reserves,Compensation.of.employees.received.by.households,"Compensation.of.employees,.total.economy",Consumer.price.index,Consumer.price.index.with.fixed.interest.rates,"Consumer.price.index,.harmonised",Core.inflation.index,"Core.inflation.index,.harmonised",Current.disbursements.of.households.and.non-profit.institutions.serving.households,Direct.taxes.on.households,Employees.and.self-employed.contributions.to.social.security,"Exports.of.goods.and.services,.deflator.(national.accounts.basis)","Final.domestic.expenditure,.deflator","General.government.fixed.capital.formation,.deflator,.based.on.appropriation.account","Government.final.consumption.expenditure,.deflator","Gross.capital.formation,.deflator",Gross.current.receipts.of.households.and.non-profit.institutions.serving.households,Gross.disposable.income.of.household.and.non-profit.institutions.serving.households,"Gross.domestic.product,.market.prices,.deflator","Gross.national.product,.market.prices,.deflator",Gross.saving.of.households.and.non-profit.institutions.serving.households,Gross.saving.ratio.of.households.and.non-profit.institutions.serving.households,Gross.self-employment.income.received.by.households,"Gross.total.fixed.capital.formation,.deflator","Imports.of.goods.and.services,.deflator.(national.accounts.basis)","Mainland.gross.domestic.product,.market.prices,.deflator",Net.current.receipts.of.households.and.non-profit.institutions.serving.households,Net.disposable.income.of.households.and.non-profit.institutions.serving.households,Net.saving.of.households.and.non-profit.institutions.serving.households,Net.saving.ratio.of.households.and.non-profit.institutions.serving.households,Net.self-employment.income.received.by.households,"Offshore.gross.domestic.product,.market.prices,.deflator",Other.current.income.payable.by.households.and.non-profit.institutions.serving.households,Other.current.income.received.by.households.and.non-profit.institutions.serving.households,"Private.final.consumption.expenditure,.deflator","Private.final.consumption.expenditure,.nominal.value,.appropriation.account","Purchasing.power.parity,.national.currency.per.USD",Real.gross.disposable.income.of.households.and.non-profit.institutions.serving.households,Real.net.disposable.income.of.households.and.non-profit.institutions.serving.households,"Total.domestic.expenditure,.deflator",Total.employers.social.contributions,"Wages,.total.economy"
CAN,2015,,1024743000000.0,1026846000000.0,0.970291336570406,,,0.966520526106019,,426316000000.0,241166000000.0,95617000000.0,0.970138575922175,0.975860735512839,0.960369911348156,0.974522498374569,0.960665274251069,,,0.967993504695066,,,,,0.962812919725535,0.994160741713526,,1599455000000.0,1173139000000.0,51060000000.0,4.35242541591406,177997000000.0,,89533000000.0,189663000000.0,0.981494837072765,1122079000000.0,1.24804210388908,,1195257433547.79,0.975808270721118,142436051000.0,884409949000.0
CAN,2016,,1024142000000.0,1026483000000.0,0.98421926910299,,,0.984389531021655,,430366000000.0,242139000000.0,97635000000.0,0.961804124138669,0.986252200676381,1.00708262627189,0.98232739254156,0.985454888413945,,,0.97493525913613,,,,,0.981148610633992,0.997787279109791,,1606263000000.0,1175897000000.0,22229000000.0,1.89038665801512,183577000000.0,,90592000000.0,179288000000.0,0.989641759773036,1153668000000.0,1.20704545149815,,1188204709823.16,0.987577595921424,146345340000.0,880137660000.0
CAN,2017,,1066523000000.0,1069956000000.0,1.0,,,1.0,,447036000000.0,252525000000.0,97552000000.0,0.999999628708966,0.999999999999998,1.02326784504527,1.0,0.998395258375302,,,1.0,,,,,1.0,1.0,,1680131000000.0,1233095000000.0,23942000000.0,1.94161844788925,190324000000.0,,96959000000.0,190884000000.0,1.0,1209153000000.0,1.21230358385388,,1233095000000.0,1.0,147864100000.0,922091900000.001
CAN,2018,,1122304000000.0,1126948000000.0,1.02242524916944,,,1.01899827288428,,481620000000.0,269486000000.0,102460000000.0,1.03627552233017,1.01580521334473,1.05115779436703,1.01147888937685,1.0135600171215,,,1.01651254593386,,,,,1.01937045761412,1.0279265233053,,1749797000000.0,1268177000000.0,7731000000.0,0.60961521932664,195617000000.0,,109674000000.0,190192000000.0,1.01594655879408,1260446000000.0,1.20652443256003,,1248271367251.16,1.01483085273404,155026032000.0,971921967999.998
CAN,2019,,1168596000000.0,1174784000000.0,1.04242269358548,,,1.04025508170586,,506422000000.0,279343000000.0,106884000000.0,1.04929220089214,1.03516632872634,1.03279051284848,1.03464018798536,1.03458187675862,,,1.03222716410169,,,,,1.04232015107998,1.05073317209232,,1834260000000.0,1327838000000.0,27022000000.0,2.0350374066716,208000000000.0,,120195000000.0,204781000000.0,1.03258263314414,1300816000000.0,1.21786024050092,,1285938730110.96,1.03376107677288,160026165999.999,1014757834000.0
CAN,2020,,1155843000000.0,1161007000000.0,1.04996166624074,,,1.05187989903016,,507015000000.0,288011000000.0,105931000000.0,1.0080027846487,1.05433244467529,1.0764337994735,1.07731491944726,1.07308749281012,,,1.0432808281214,,,,,1.06736440428905,1.04301596549827,,1933675000000.0,1426660000000.0,200664000000.0,14.0652993705578,207304000000.0,,113073000000.0,192870000000.0,1.04017509547196,1225996000000.0,1.20168872024913,,1371557544696.53,1.05595620467499,159529723999.999,1001477276000.0
CAN,2021,,1264002000000.0,1269424000000.0,1.08567595195502,,,1.07672379434037,,548342000000.0,319828000000.0,119088000000.0,1.17805125152784,1.09513743511661,1.0221381336805,1.09443737548349,1.15272475063781,,,1.12324639383347,,,,,1.1544026324887,1.07695824783274,,2026101000000.0,1477759000000.0,150172000000.0,10.1621441655913,214042000000.0,,109426000000.0,202701000000.0,1.07029488950344,1327587000000.0,1.18003892393584,,1380702659138.74,1.09510847243668,170395695000.003,1099028305000.0
CAN,2022,,1380065000000.0,1385827000000.0,1.15953232813698,,,1.13033080908729,,606544000000.0,348372000000.0,131628000000.0,1.38326140945618,1.16557201902123,1.21955098794886,1.14414903575189,1.25342176972522,,,1.20921765035709,,,,,1.27281407091306,1.2080544349735,,2161460000000.0,1554916000000.0,81328000000.0,5.23037900439638,235644000000.0,,126544000000.0,226721000000.0,1.12936931221867,1473588000000.0,1.16451809681705,,1376800293028.44,1.16224505156175,182191238999.998,1203635761000.0
CAN,2023,,1470746000000.0,1477054000000.0,1.2045106056734,,,1.17437225986449,,696362000000.0,370734000000.0,148006000000.0,1.32994927355486,1.21007786074328,1.23606876132397,1.18891738360446,1.29671473514458,,,1.227775635713,,,,,1.32526803505174,1.23524267903154,,2338112000000.0,1641750000000.0,88539000000.0,5.3929648241206,257594000000.0,,177622000000.0,275445000000.0,1.17064085452649,1553211000000.0,1.16992815923679,,1402436958911.76,1.20511013080803,194077564039.668,1282976435960.33
CAN,2024,,1550283915433.94,1557113582714.08,1.23296416432405,,,1.20480875514813,,754633801060.815,391859282493.758,155480168692.058,1.3358100879248,1.24552511112525,1.29607306708161,1.23481713703707,1.35076400410584,,,1.26313838098455,,,,,1.36316138450909,1.25149216400391,,2496911638951.03,1742277837890.21,118187187766.704,6.78348683524675,282527191892.089,,207294349875.0,308274387425.0,1.20106948847058,1624090650123.51,1.1817794930327,,1450605360151.81,1.2440685081978,205319849853.253,1351793732860.83
