Country,Year,Compensation.rate.total.economy,Dependent.employment.total.economy,Employment.country.specific,General.government.employment,Hours.worked.per.worker.total.economy,Labour.force,Labour.force.participation.rate.as.a.percentage.of.population.aged.15-74,Labour.productivity.total.economy,Total.employment.(labour.force.survey.basis),Total.employment.(national.accounts.basis),Total.population,Total.self-employed,Unemployment.rate,Unemployment.level,Unit.labour.cost.in.total.economy,Wage.rate.total.economy,Working-age.population.age.15-74
DNK,2022,458174.561496874,2980637.25,,866241.75,1394.12470960156,3004000.0,68.4910556374179,0.976495494480567,2868250.0,3160322.75,5906385.0,179685.500000001,4.51897470039947,135750.0,1.05234059315783,421698.267040043,4385974.15683408
DNK,2023,472446.617655383,3025323.75,,873047.0,1386.59713079302,3043250.0,69.0469579985783,0.987719284264206,2884250.0,3202370.74999999,5947987.0,177046.999999992,5.2246775651031,159000.0,1.07457656395622,435322.739921637,4407507.71389909
DNK,2024,491256.571948567,3052831.0,,877429.3388,1381.53169204967,3119278.25,70.51471104092,1.00840000824169,2926229.0,3225974.3070125,5979521.31102178,173143.307012498,6.18890764233681,193049.25,1.09631485479421,452522.637987167,4423585.09870355
ESP,2015,31512.7441034745,15772000.0,,2816600.0,1689.91164587445,22922025.0,65.1423445391704,1.02652987061414,17866050.0,18614800.0,46410149.0,2842800.00000001,22.0572789707715,5055974.99999997,0.864109545645417,24735.7342125285,35187595.9671928
ESP,2016,31496.4413252654,16129600.0,,2833625.0,1696.8649198983,22822725.0,64.9157428859618,1.03434433175161,18341550.0,19012700.0,46449874.0,2883100.00000001,19.6347061974413,4481174.99999997,0.858226513762723,24687.8409879972,35157457.9375806
ESP,2017,31728.5048301053,16645600.0,,2863575.0,1688.81408139484,22741725.0,64.5247458861102,1.03704955052186,18824800.0,19512300.0,46532869.0,2866700.0,17.2235175651804,3916925.00000003,0.867095367800315,24826.8611524968,35244966.3887719
ESP,2018,32270.5775485686,17063500.0,,2996875.0,1693.50567370661,22806850.0,64.3834010357957,1.0391976651345,19327725.0,19938400.0,46728814.0,2874900.00000002,15.2547370636454,3479125.0,0.882901318377934,25215.4012951622,35423493.6848395
ESP,2019,33374.3320382376,17553400.0,,3058350.0,1678.27072166716,23027075.0,64.4264726918883,1.03220829398726,19779300.0,20467100.0,47105358.0,2913700.00000002,14.1041578229106,3247775.0,0.921246717050774,25899.3699226361,35741635.4456097
ESP,2020,33626.347319724,16709100.0,,3117700.0,1560.54772056784,22733350.0,63.1970600726541,0.961571127773565,19202425.0,19567000.0,47344852.0,2857899.99999997,15.5319167654569,3530925.0,0.992094107375207,25789.360288705,35972163.8536109
ESP,2021,35238.5423835575,17145800.0,,3239450.0,1633.41739625621,23309900.0,64.61780042308,1.0,19833450.0,20072500.0,47373420.0,2926700.00000005,14.9140493953213,3476450.0,1.0,27209.0541123774,36073496.5402416
ESP,2022,36968.508153384,17741100.0,,3294300.0,1653.46543186863,23626700.0,64.7597104186261,1.0259572620629,20547500.0,20773600.0,47807612.0,3032499.99999999,13.0327129899647,3079200.0,1.02234437408319,28745.9627644284,36483640.5957809
ESP,2023,39129.2246955704,18288300.0,,3339399.99998404,1638.03999142515,24119649.9990452,65.4392684486672,1.02261232743737,21182199.9995105,21399200.0,48222327.0,3110900.00000003,12.1786593074568,2937449.99953473,1.08640510042902,30342.4593866024,36858067.9014856
ESP,2024,41002.9275478733,18726220.69,,3357355.38236502,1624.12969204795,24438402.7410983,65.8158886882666,1.03178090037732,21638365.616172,21854711.8978611,48530069.4446342,3128491.20786107,11.4575291789322,2800037.1249263,1.13124900526823,31790.548179559,37131463.5844993
EST,2015,17295.2478749732,564586.45,,143800.0,1856.71563267153,683150.0,69.4321857333681,0.842009655424404,640900.0,622833.94325,1313271.0,58247.4932500001,6.18458610846813,42250.0,0.78910291620809,13005.7674951305,983909.685089588
EST,2016,18370.9283595681,565273.575,,138700.0,1851.907792006,691350.0,70.3882202568669,0.864908651798183,644625.0,624721.6905,1315944.0,59448.1155000001,6.7585159470601,46725.0,0.814514297567026,13821.448932726,982195.596759039
EST,2017,19658.6421475207,575256.375,,135200.0,1855.30229751417,698850.0,71.5952080771492,0.887500203912322,658575.0,641164.41275,1315635.0,65908.0377499999,5.7630392788152,40275.0,0.84225352597362,14801.4027992388,976112.813649394
EST,2018,21517.9790589431,579478.3,,138400.0,1789.81360913796,702475.0,71.9214199401757,0.911915213723706,664750.0,647358.35825,1319133.0,67880.05825,5.37029787536923,37725.0,0.89516931764907,16195.6346329309,976725.710621843
EST,2019,23184.3445061362,585742.925,,144200.0,1779.95883873537,702600.0,71.6191540729338,0.933013661890547,671350.0,655643.78075,1324820.0,69900.8557499999,4.44776544264162,31250.0,0.940831122288107,17421.6237699019,981022.477987527
EST,2020,24225.6587897633,570377.0,,145000.0,1722.59540872189,704550.0,71.5846357397438,0.934405850183527,656600.0,637943.72025,1328889.0,67566.7202500001,6.80576254346747,47950.0,0.982393400345761,18182.5273170706,984219.5782926
EST,2021,26491.7037061693,568936.05,,149700.0,1704.54165413736,697300.0,70.7252291186778,1.0,654225.0,638762.0315,1330068.0,69825.9814999999,6.177398537215,43075.0000000002,1.0,19915.8451364759,985928.23054687
EST,2022,28647.6415871697,598064.525,,156800.0,1676.32400352045,721025.0,72.9970412434828,0.955641945531452,680850.0,668104.07775,1331796.0,70039.5527500001,5.57192885128809,40175.0,1.13726936837767,21563.5509533037,987745.513677752
EST,2023,30983.3380717046,612792.55,,158475.606965143,1683.22547660363,747675.000005793,73.732131581696,0.897024349041031,700000.000021157,689545.3815,1365884.0,76752.8315,6.37643360875603,47674.999984636,1.30088931904021,23331.9074203366,1014042.29603394
EST,2024,32867.65400806,606065.590528879,,159667.625599056,1705.5480634427,759403.739743324,74.742379081223,0.887194879015834,702975.648553644,691221.569742461,1366491.0,85155.9792135825,7.43057852319145,56428.0911896801,1.37663173505663,24737.2194085862,1016028.32165414
