"Country","Quarter","S_mean_tw","theta_pct","F_CP","F_CP_above","F_CP_below_adj_mid","F_DI","F_H","y_t_pct","debt_dR","excess_mortality","vax_rate"
"CRI","Q4.2020",51.5453296703297,0.278015121040749,0.00286535951169866,0.00286535951169866,0,0.0859773162712195,0.0566636966113267,-8.39074442053769,-0.492951451795662,16.101083212541,0
"CRI","Q1.2021",57.3717948717949,0.17738752596636,2.79855701597052,0,2.79855701597052,0.00385721472728665,0,-5.30700467485761,2.93066668972396,10.7237609193327,3.09
"CRI","Q2.2021",54.3040293040293,0.671576891465953,0.393497893134213,0,0.393497893134213,0,0,-4.07405753665844,2.07584061197068,24.085736839999,15.66
"CRI","Q3.2021",48.8352884615385,1.1738740769393,0,0,0,0.00638413119819967,0,-1.84633560364796,1.87306789484927,30.1668125716256,42.26
"CRI","Q4.2021",42.3012316849817,0.688356397589101,0,0,0,0,0,-2.10430281739252,-0.968439824714778,12.9916687966956,67.66
"CRI","Q1.2022",35.5195421245421,2.767191243315,0,0,0,0,0,-2.27212896503196,1.45024828272413,14.1478744456268,76.66
"CRI","Q2.2022",0,3.27958718310098,0,0,0,0,0,-2.59733806841205,-0.58599742560456,7.57947545697448,79.97
"CRI","Q3.2022",0,1.25905281893509,0,0,0,0,0,-2.02603921243103,-2.42280873040994,9.90584215141708,81.13
"CRI","Q4.2022",0,0.593519447369268,0,0,0,0,0,-0.910199843051656,0.393738810631746,1.9617276558761,82.82
"CZE","Q4.2019",0,0,0,0,0,0,0,-0.502236416742961,-0.395248810946569,0,0
"CZE","Q1.2020",42.0238095238095,0.0606117489786228,1.19679898021594,0.761915629846775,0.208744008177199,0.98805497203874,0.549692554866623,-4.62315224603932,1.25460272443859,-4.15740331996631,0
"CZE","Q2.2020",47.4358974358974,0.0300145012460003,16.0023462927494,1.10634324333915,5.21360106729357,0.400092682339631,0.784529564065972,-13.6965548762379,5.42798602459422,0.180340240659399,0
"CZE","Q3.2020",28.4569597069597,0.298785043676935,0.095674337081216,0.095674337081216,0,0.252232343214115,0,-8.17982561816158,-1.72111536103556,4.27913999836914,0
"CZE","Q4.2020",57.7037545787546,2.13727013889901,2.47144208014796,2.47144208014796,0,0,0.0382697348324864,-8.28490024255233,-0.211669495352375,54.3297179201689,0
"CZE","Q1.2021",74.7367216117216,1.88102990900603,0.574046022487296,0.4992460862238,0.0261799776922237,0.904557368767861,0.00695813360590662,-9.08831975388655,4.54187346716473,48.6650997533409,4.97
"CZE","Q2.2021",55.6089743589744,0.207187469977535,0,0,0,0,0,-8.57520433594396,0.0804972880471553,11.512942045458,31.51
"CZE","Q3.2021",32.9714835164835,0.0708109250964058,0,0,0,0,0,-7.81349413969515,-1.89223726297158,-1.98474507531237,57
"CZE","Q4.2021",35.3824049908425,2.11291376174414,0,0,0,0,0,-7.98297597540582,2.84154552495202,28.4328203900047,63.45
"CZE","Q1.2022",28.6920020604396,1.78101783812524,0,0,0,0,0,-7.97701382044682,-1.00548006076833,1.91177772445045,65.37
