Country,QGov.Cons,QGross.Cap.form,QM,QPrivate.Consumption,QReal.GDP.Growth,QX,Quarter
BEL,-3.652535216,-16.266130395,-13.337319,-12.140850041,-10.904497643,-13.322989302,2020-Q2
BEL,6.63074152,17.983744392,9.970158753,17.895720086,11.48379223,8.377570742,2020-Q3
BEL,-1.257348988,3.183986145,2.373634238,-6.848128464,-0.456132651,4.092242156,2020-Q4
BEL,2.408318112,-1.359632649,3.295901888,0.708381712,1.576539671,4.53752347,2021-Q1
BEL,0.386230174,1.196214104,6.393382699,3.274077196,1.540429092,6.707749123,2021-Q2
BEL,0.231666564,-1.539035222,1.510249277,5.854865812,1.956495391,0.937374256,2021-Q3
BEL,-0.077725506,-1.525219487,2.331999795,-0.389253226,0.938230671,2.131990051,2021-Q4
BEL,1.14495483,2.359275575,0.087979089,-0.67945021,0.718319005,0.821232004,2022-Q1
BEL,0.867209952,-0.732320472,0.297600783,0.950673328,1.308355541,0.261638791,2022-Q2
BEL,1.750942185,2.524911914,2.513816862,0.885550033,0.761227541,1.748015637,2022-Q3
BEL,2.109604798,1.261570267,0.615890093,-0.748692044,0.242331459,0.507956983,2022-Q4
BEL,-0.305445229,0.710921679,-4.115725107,0.01376802900000001,0.143379636,-4.496923521,2023-Q1
BEL,-0.068120551,2.377034614,-3.820088254,-0.0171931555,0.113722225,-3.684911954,2023-Q2
BEL,0.814773175,1.463568304,-3.08193217,0.48037473,0.030419832,-2.840439893,2023-Q3
BEL,0.581626375,-6.96992162,-0.708649196,0.401733758,0.276389841,0.469395102,2023-Q4
BEL,0.154203478,3.710300298,0.784460524,0.42701533,0.385879246,0.540742232,2024-Q1
BEL,1.863180163,3.918407287,-0.617438899,1.102975313,0.277857234,-1.519542871,2024-Q2
BEL,0.108053415,-2.126267893,-1.743799829,0.630928173,0.25542677,-1.632216842,2024-Q3
BEL,0.739647739,0.409374284,0.314217315,0.8023395525,0.168582749,0.028884716,2024-Q4
BRA,-0.460523405,-3.181191931,-0.236993593,-1.713529964,-0.809025515,5.982728324,2015-Q1
BRA,-0.789112523,-6.806997263,-6.551480512,-1.913693977,-2.331398004,4.045670066,2015-Q2
BRA,0.185429373,-5.627034,-8.813273543,-1.840869667,-1.653937248,-0.56510853,2015-Q3
BRA,-0.883047735,-5.311009776,-5.670398536,-0.683112004,-0.771274808,4.036857779,2015-Q4
BRA,1.473175707,-2.005291089,-4.900647833,-1.305344412,-1.456437515,-0.327372187,2016-Q1
BRA,-0.282799805,1.830242554,10.386608411,-0.597985356,0.313660774,-0.119992182,2016-Q2
BRA,-0.385669639,-5.697786299,-6.536443535,-0.354852094,-0.556239503,-4.521845257,2016-Q3
BRA,-0.252100603,-1.851560998,4.229264294,-0.230757476,-0.09118093,-1.445876616,2016-Q4
BRA,-0.565920456,0.17274845,2.114406731,0.644892979,0.994125885,7.407185383,2017-Q1
BRA,0.179668006,0.220076038,0.210712379,1.624066511,0.853499604,1.913852222,2017-Q2
BRA,-0.105286215,0.317834939,3.469794889,0.984082268,0.245137658,1.540395797,2017-Q3
BRA,1.03925598,3.143266007,3.528434323,0.317534471,0.536842186,-3.150222041,2017-Q4
BRA,-0.047341914,0.161123306,-0.651793884,0.757937338,0.577545501,4.577135022,2018-Q1
BRA,0.247600452,0.029602928,-0.050037908,0.194355202,-0.08755372,-4.536479591,2018-Q2
BRA,0.410936455,5.646879131,10.261431578,0.586389445,0.968145584,6.061819697,2018-Q3
BRA,-1.33003599,-1.695035362,-7.244892206,0.126036598,-0.275764636,3.143966371,2018-Q4
BRA,0.437541414,-1.343922161,-2.654803229,1.430914167,0.318981239,-4.270718873,2019-Q1
BRA,-0.078814378,5.441571826,5.859041316,0.340699549,0.556802257,-4.03261642,2019-Q2
BRA,-0.200349512,2.650875554,4.319878868,0.604877104,0.018604486,0.36650068,2019-Q3
BRA,-0.118705899,-5.662368015,-6.299186355,0.583509883,0.880926966,2.758920464,2019-Q4
BRA,0.444467908,4.809166366,-0.002726748,-1.030923359,-2.279363862,-2.79666019,2020-Q1
BRA,-8.117911105,-15.769777864,-12.450658569,-11.305861163,-8.887804136,-0.721190935,2020-Q2
BRA,3.594634873,9.675493647,-7.851994254,7.331722657,7.918053935,-0.70539756,2020-Q3
BRA,2.207423722,13.9046631,20.924973889,3.569977351,3.839434988,-0.606378165,2020-Q4
BRA,0.853333752,6.117452013,13.690387056,0.039412819,0.895820919,3.944097138,2021-Q1
BRA,1.294712074,-4.597524398,-4.152569001,-1.444593719,-0.706963209,9.286782112,2021-Q2
BRA,1.541144025,-0.212049567,-6.421364521,1.524387983,0.135243104,-9.119970769,2021-Q3
BRA,1.02656943,0.672528159,2.248221643,0.725103781,1.317532041,-0.240244644,2021-Q4
BRA,0.077121262,-1.908199809,-1.616290804,1.047936029,0.741517374,9.026086073,2022-Q1
BRA,-0.804237662,3.342314127,5.115227877,1.967168636,1.137294789,-3.620006288,2022-Q2
BRA,2.26161911,3.111132882,5.027718807,0.783713164,1.020361372,3.369302046,2022-Q3
BRA,-1.257658518,-1.16227423,-1.573224214,0.895984838,0.398706395,4.674474347,2022-Q4
BRA,1.368486102,-3.691880821,-8.468040453,0.407130518,1.412377994,0.990088787,2023-Q1
BRA,2.512085424,0.179536046,5.894506679,0.843433323,0.801525891,2.302989214,2023-Q2
BRA,0.794789424,-2.369805321,1.330663177,0.953091411,0.085783602,2.85136419,2023-Q3
BRA,0.469120084,1.662827989,1.292828875,0.591610305,0.273283001,1.100220662,2023-Q4
BRA,0.212864451,4.125105205,2.830745738,2.317835421,0.959564921,-1.054040372,2024-Q1
BRA,-0.259052502,1.666166448,7.962040231,1.043708465,1.473789105,1.456615316,2024-Q2
BRA,0.763585664,2.869978595,1.316653643,1.388270832,0.799720612,-0.63415221,2024-Q3
BRA,0.524382029,0.744945431,0.652073075,-0.915130004,0.053123237,-1.216688168,2024-Q4
CAN,1.362537491,-4.215108052,-0.452409677,0.169620356,-0.55677898,-1.020685145,2015-Q1
CAN,0.104903411,-2.755667437,0.242381719,0.537025473,-0.272994458,1.349237266,2015-Q2
CAN,0.580123544,-1.274278851,-1.189310665,0.754759008,0.358097519,2.010057977,2015-Q3
CAN,-0.277292393,-0.800369307,0.039662271,0.762624674,0.066272079,-0.803462833,2015-Q4
CAN,0.819666371,-1.973116801,0.255288644,0.132400706,0.591683798,2.271138851,2016-Q1
CAN,1.065105256,-0.725168211,0.284844991,0.475304397,-0.498133929,-4.096743523,2016-Q2
CAN,-0.019771751,0.289678272,1.12406637,0.681234106,1.03778381,2.888881316,2016-Q3
CAN,0.211553585,-1.642985049,-1.854777671,0.706115614,0.561022275,1.007538471,2016-Q4
CAN,0.99220281,2.871381417,3.311820453,1.05497309,1.258206055,0.698927536,2017-Q1
CAN,0.14177887,0.773469554,1.835918264,1.279961755,1.052553159,1.36284108,2017-Q2
CAN,0.747369233,0.747372972,0.408724662,0.959316541,0.031402141,-3.542446417,2017-Q3
CAN,0.853076299,3.152359577,2.455827716,0.577213747,0.507360861,1.80220825,2017-Q4
CAN,0.954607573,0.44017447,1.258286758,0.6706922,1.162519794,1.676613223,2018-Q1
CAN,1.013707053,0.136192581,1.716353518,0.586128374,0.780038215,3.084389229,2018-Q2
CAN,0.345094879,-1.505227534,-2.486765876,0.550719921,0.504422861,-0.458435078,2018-Q3
CAN,0.692616887,-1.315045706,-1.206441006,0.014306275,0.235568646,-0.290638835,2018-Q4
CAN,-0.44274829,1.822105845,2.663237278,0.540903058,0.240663338,-0.052750533,2019-Q1
CAN,-0.070092492,-0.234059353,-0.496941489,0.244195973,1.094764819,4.017020668,2019-Q2
CAN,0.814035302,2.13825991,-0.59925454,0.478438471,0.279623055,-0.860244625,2019-Q3
CAN,0.896484071,-0.773477395,-1.244590127,0.717212166,0.285513174,-2.079256123,2019-Q4
CAN,-0.119711237,-1.597760235,0.115313088,-2.073626064,-1.949937792,-1.744930509,2020-Q1
CAN,-3.60100172,-13.033039461,-22.938687924,-14.138218165,-10.9999385,-16.345836415,2020-Q2
CAN,5.56446465,14.964138357,21.450894236,12.590199855,9.083513962,13.335217471,2020-Q3
CAN,1.345916005,2.648188055,2.837075223,0.542144291,1.87838191,1.1881429,2020-Q4
CAN,1.448205751,3.428871622,2.743405344,0.406046167,1.703571827,2.695051234,2021-Q1
CAN,1.140222347,1.537466471,-0.33017642,-0.054770573,-0.117195455,-3.380527762,2021-Q2
CAN,0.469061209,-3.346123293,-1.009677339,5.282600131,2.014508421,-0.159167423,2021-Q3
CAN,0.738120495,1.565637769,5.10991431,1.033702796,1.790401837,3.162333525,2021-Q4
CAN,0.673854987,3.037965987,0.23072945,2.009066634,1.185147173,-0.613726055,2022-Q1
CAN,0.329502068,-2.256212874,6.226599812,1.94250855,1.028155959,3.841055488,2022-Q2
CAN,1.216759128,-1.740552505,0.136997391,-0.136655919,0.515142432,0.857675699,2022-Q3
CAN,1.073087437,-1.084623381,-2.847761602,-0.107789224,-0.137004734,0.183496088,2022-Q4
CAN,0.247018343,0.010333459,-0.697059931,0.724217739,1.354524423,3.137549068,2023-Q1
CAN,0.759521559,2.197485135,1.714724769,-0.010900662,0.142652282,0.312522216,2023-Q2
CAN,1.306963889,-0.714773512,0.422056441,0.196088907,-0.225554773,-0.985752718,2023-Q3
CAN,-0.0940976,-1.468274173,0.663869831,0.381250351,-0.038289183,2.075370154,2023-Q4
CAN,0.517739985,-1.406890742,-0.429421854,0.121671705,0.176748479,0.003371094,2024-Q1
CAN,1.36403914,0.81998663,0.00201471,0.412392421,0.631439875,-1.225688489,2024-Q2
CAN,1.341591571,-0.452758531,-0.248937577,1.066160195,0.596145234,-0.153713002,2024-Q3
CAN,0.586024249,2.172996279,0.617017463,1.190556931,0.509869673,1.736513683,2024-Q4
CHE,-0.143516764,-0.424667618,2.599936874,0.839595629,-0.242394785,-2.484427942,2015-Q1
CHE,0.232193637,1.157681989,-5.11030546,0.733989237,0.586478541,-3.63036576,2015-Q2
CHE,-0.15883698,0.588213058,3.954279927,0.82500576,0.546366587,6.854020485,2015-Q3
CHE,0.03302779,0.278601608,4.476388693,0.134822263,0.476121895,3.586800505,2015-Q4
CHE,0.039501792,1.390821764,0.773699526,0.298721837,0.366545638,-5.577255642,2016-Q1
CHE,0.304989101,0.785697059,-1.413779104,0.386961744,0.712076383,6.42071398,2016-Q2
CHE,-0.048165153,-0.718188533,0.229277243,0.289314924,0.733790646,-0.786228518,2016-Q3
CHE,0.203038809,0.911998556,5.778041484,0.724972061,0.141399466,9.266181996,2016-Q4
CHE,0.125457035,1.216137649,-4.228652541,0.139065211,0.024861629,-12.954069685,2017-Q1
CHE,0.378319188,1.46356006,-1.042817173,0.043424557,0.296777319,6.938416176,2017-Q2
CHE,0.381608484,1.101935705,3.190528875,0.355862254,0.523109373,0.423043468,2017-Q3
CHE,0.579376631,0.433501891,-2.905692895,0.114780451,1.039619304,3.002515832,2017-Q4
CHE,-0.202960372,1.487269199,1.022820776,0.219180763,0.988581183,1.147388415,2018-Q1
CHE,0.4305543,-1.188306674,0.911131823,0.040823117,1.149352425,-1.914578137,2018-Q2
CHE,-0.141412526,-1.957564376,2.601335397,0.153586141,-0.33608121,-0.168209626,2018-Q3
CHE,0.121400461,-0.220006216,-5.61860202,0.238262666,0.155503903,-1.530912959,2018-Q4
CHE,-0.002519726,1.958953239,-1.412631019,0.524538205,0.072635844,-2.344615341,2019-Q1
CHE,0.215011717,-0.366924887,5.757369672,0.396922164,0.656910407,3.411868036,2019-Q2
CHE,0.615071497,-0.115185911,3.479684571,0.202543448,0.447941408,3.923665934,2019-Q3
CHE,0.919673401,2.994060304,-5.259964008,0.075621338,0.545929182,-4.034607147,2019-Q4
CHE,1.500855811,-2.283110489,-1.25360177,-2.242941524,-1.508251495,-5.388935106,2020-Q1
CHE,0.79288258,-6.135198608,-3.849270573,-6.574959801,-6.520668649,-3.014143893,2020-Q2
CHE,0.724477267,7.243033142,5.407209232,8.449865625,6.896048742,4.050140705,2020-Q3
CHE,1.137673096,0.00718272,-2.77401346,-1.699142918,0.36356577,1.77440479,2020-Q4
CHE,1.300591035,-0.484089703,4.067380397,-2.737575118,0.44892947,5.161789593,2021-Q1
CHE,0.388565844,1.376453155,-0.005204438,3.666248807,2.442193764,3.161081755,2021-Q2
CHE,0.214476648,-0.545430691,-0.777565389,2.292589906,2.356081248,3.272795257,2021-Q3
CHE,-0.502918357,2.520732954,10.780268504,0.443795856,0.409045441,4.738929607,2021-Q4
CHE,-0.739721893,-2.436372988,-3.329798739,1.011428022,0.095688817,1.927862877,2022-Q1
CHE,-0.511937826,0.380091511,-4.50928167,0.675550642,1.022447235,-11.335206184,2022-Q2
CHE,0.062412071,0.633088419,10.065949836,0.580468676,0.274033816,16.228454199,2022-Q3
CHE,0.225969978,-0.494837898,1.057711962,0.220113089,0.10269631,-0.599579382,2022-Q4
CHE,0.748916239,1.695771106,3.238606564,0.382560711,0.222453043,-1.017813379,2023-Q1
CHE,0.409946588,-1.898839044,-5.620032322,0.405123673,-0.162866409,-3.361872364,2023-Q2
CHE,0.733814221,-0.080397503,-2.938141591,0.186002291,0.172991592,-0.336124301,2023-Q3
CHE,0.595440741,-0.68916053,4.045963647,0.365594643,0.310666958,3.199891377,2023-Q4
CHE,-0.564887986,0.5496914,5.889846941,0.534865253,0.301578606,1.011655649,2024-Q1
CHE,-0.090570765,-0.44722034,-7.950643558,0.453840493,0.589698736,-3.698956168,2024-Q2
CHE,0.253051008,-0.489979608,-0.043559328,0.546112742,0.500760423,-2.403054493,2024-Q3
CHE,0.551087809,1.297969091,3.434334218,0.498265695,0.29877632,6.23219566,2024-Q4
CHL,-0.309211585,-1.035793903,0.115322894,0.453714675,0.548129344,-0.6171756,2015-Q1
CHL,-0.172778346,0.301841923,-4.466204005,0.854776207,0.90612225,-2.191054011,2015-Q2
CHL,2.726753276,4.092733069,5.013005539,0.420281917,-0.385686167,-1.895025752,2015-Q3
CHL,4.542843714,-2.962655897,0.486022683,0.923172778,0.874931778,3.474596337,2015-Q4
CHL,-0.661535945,0.876992467,-0.27827518,0.90630411,0.830800141,0.910475783,2016-Q1
CHL,3.585620601,-2.7210332,-2.654641009,0.002535124,-0.321351712,-2.98702515,2016-Q2
CHL,1.888912408,-1.916808413,3.084854027,1.676721743,0.629521074,0.042733682,2016-Q3
CHL,-0.928648657,0.341865082,1.722800793,1.070407233,0.036178417,2.662415374,2016-Q4
CHL,0.643402707,-2.572628473,1.970149831,1.162822564,-0.813459764,-5.42262075,2017-Q1
CHL,2.654350895,-0.180591724,0.324156111,-0.014939437,1.36734186,0.894814957,2017-Q2
CHL,0.751335917,-0.311163925,-1.221176562,1.086665333,1.86685105,5.791551252,2017-Q3
CHL,1.970187013,5.006122672,5.403025069,1.4066278,0.931398936,2.119355943,2017-Q4
CHL,-1.485076425,1.562263168,1.468600979,1.206001767,0.866067441,0.063295424,2018-Q1
CHL,2.422166969,1.695809146,4.815165553,0.901544679,1.387806774,-0.352009199,2018-Q2
CHL,-0.201040083,-1.88253731,-1.380831361,-0.206953267,-0.532108053,0.452766787,2018-Q3
CHL,1.628551799,3.41177315,1.042218568,1.58402121,1.468770446,0.764042821,2018-Q4
CHL,-0.72903994,0.495299736,-1.558295165,0.248950774,-0.730101319,-3.082308501,2019-Q1
CHL,1.330973938,1.598121189,-1.03847681,0.80392917,1.369063543,-1.337695285,2019-Q2
CHL,1.443325985,0.583779261,-0.416456139,-0.391944524,0.138836524,3.641559785,2019-Q3
CHL,-7.233226136,1.169147645,-2.52185506,-4.997753317,-3.905327776,-4.538628637,2019-Q4
CHL,2.945638471,-2.612776166,-5.022734369,2.172550305,1.856598364,2.899846968,2020-Q1
CHL,-6.216495729,-18.350825826,-12.554885757,-19.931355735,-12.564976448,1.001395633,2020-Q2
CHL,3.575441002,3.480151061,4.076969077,16.920315955,4.917064167,-7.744702871,2020-Q3
CHL,5.275427288,10.812829862,8.196712661,9.597137209,6.891324072,4.193356332,2020-Q4
CHL,2.034649821,8.886374865,18.178147667,3.280134467,3.687972649,-2.582477737,2021-Q1
CHL,4.654828231,-3.936179379,0.44102404,3.781271491,1.122933582,4.113006157,2021-Q2
CHL,2.710313614,10.045420209,7.870569347,8.4361306,4.096759517,-3.35083243,2021-Q3
CHL,6.464216908,1.351754178,8.527051874,0.609304835,2.108671858,2.947068034,2021-Q4
CHL,-1.740336606,-1.522247824,-3.251100815,-0.411751251,-1.454077156,-2.96793033,2022-Q1
CHL,1.734732854,0.740956798,-1.833153609,-2.613443471,0.078752774,2.554241659,2022-Q2
CHL,-1.458977226,2.392633404,-5.041381356,-1.535754804,-0.350365868,0.340383621,2022-Q3
CHL,2.604194516,-0.630921998,-2.852699691,-2.374559857,-0.312574851,1.49162628,2022-Q4
CHL,0.582886306,1.365933567,-7.692447925,-1.506968411,0.16938074,-0.829494649,2023-Q1
CHL,-0.734408663,-0.198402319,4.378464502,0.038957071,0.572135323,-2.201679718,2023-Q2
CHL,0.881591428,-2.378471407,-1.672553082,-0.49490691,1.044221772,1.67022286,2023-Q3
CHL,1.080209641,-2.268844727,-1.108438265,0.156214431,-0.400934967,0.908141833,2023-Q4
CHL,3.953384044,0.066120255,-0.402054226,0.758689151,1.416481874,1.807403372,2024-Q1
CHL,-2.016148586,0.694717079,0.342436122,0.094776495,-0.354165905,1.790364487,2024-Q2
CHL,2.288042125,0.994347048,2.522330176,0.086985295,1.577120006,3.370454518,2024-Q3
CHL,-5.450832701,0.372841625,5.637859973,0.809705697,0.465390881,1.195083039,2024-Q4
COL,3.712950112,0.692163718,-5.963017683,0.220725045,0.626135393,3.070889111,2015-Q1
