"Country","Quarter","S_mean_tw","y_t_pct","F_CP_above_3","F_CP_loans","F_CP_guar_adj","F_DI","F_H","debt_dR"
"DNK","Q1.2021",60.3937728937729,-3.8613887332559,0.496866071262692,0,0,0,0,-1.74958828277104
"DNK","Q2.2021",50.1033653846154,-1.09987604668862,0.0561674689253478,0,0,0.00686971350702331,0,-0.100648385920714
"DNK","Q3.2021",28.1839606227106,0.286896504401523,0,0,0,0,0,0.480764616500622
"DNK","Q4.2021",16.1557371794872,2.98926986395479,0.00747459394160398,0,0,0,0,-2.11963147579959
"DNK","Q1.2022",11.2655471611722,-3.00415401999248,0,0,0,0,0,-5.31670168264987
"DNK","Q2.2022",0.0411092032967033,-1.80310020130719,0,0,0,0,0,-1.52305691220742
"DNK","Q3.2022",0,-1.03945756198887,0,0,0,0,0,-0.594657190200884
"DNK","Q4.2022",0,-2.91166707922032,0,0,0,0,0,-0.086082853399045
"ESP","Q4.2019",0,-0.624747674040118,0,0,0,0,0,-1.04210614255838
"ESP","Q1.2020",34.8809523809524,-6.34033241168968,0.427501603991228,0.823877346665264,8.35119337750365,1.55755216886113,0,1.83216635118048
"ESP","Q2.2020",66.3232600732601,-23.4689677113002,1.28970611026305,0.209502533864491,0.370416609447078,0.26547158948103,0.00562099554255054,5.50916201001948
"ESP","Q3.2020",43.4065934065934,-11.8359214276018,0.243308807056116,0.843791730873158,3.29125349003598,0.0173447862455845,0,0.391952554062627
"ESP","Q4.2020",61.092032967033,-11.7337416290226,0.0377409700714107,0.0381424697530215,0.0802999363221505,0.0145342884743092,0.0746789407796,-0.745674595821399
"ESP","Q1.2021",66.1057692307692,-11.2139825179419,0.883299299543655,0.883299299543655,0.883299299543655,0,0,2.13566665980736
"ESP","Q2.2021",51.3621794871795,-10.541786102307,0,0,0,0.0321199745288602,0,2.96011770777453
"ESP","Q3.2021",31.1801717032967,-9.33082163239983,1.08292494124052,0,0,0,0,0.165764589813151
"ESP","Q4.2021",26.0758653846154,-8.04903815370304,0,0,0,0,0,-1.23741720703511
"ESP","Q1.2022",20.8112957875458,-7.16939904439191,0,0,0,0,0,0.430324725929154
"ESP","Q2.2022",14.6131856684982,-6.16154068456626,0,0,0,0,0,1.77670839431171
"ESP","Q3.2022",8.43869276556777,-5.96889958179659,0,0,0,0,0,1.66827084685178
"ESP","Q4.2022",0.79719387755102,-6.03729599137753,0,0,0,0,0,-2.44226684353656
"EST","Q4.2019",0,-1.00735958635444,0,0,0,0,0,-0.939892796475146
"EST","Q1.2020",21.1904761904762,-3.72684724744984,0.889299943084804,0.177859988616961,5.33579965850882,0.0142287990893569,0,0.521036493189943
"EST","Q2.2020",51.6025641025641,-9.41285186757305,5.01209447922595,2.31217985202049,0.251581767868903,0.45176437108708,0.786141149686966,8.39553435143912
"EST","Q3.2020",25.503663003663,-6.48886253917556,0.505122367672168,0,0,0,0,-0.278968464955717
"EST","Q4.2020",32.6923076923077,-5.67763280524861,0.302361980648833,0,0,0,0,-0.281501396966522
"EST","Q1.2021",38.3898134157509,-2.78800327153714,0.881474103585657,0.100313033579966,0,0.0165765509391007,0,0.416935521220676
"EST","Q2.2021",41.9288644688645,-1.66246094794933,0.385244735344337,0,0,0,0.892857142857143,1.31888306281984
"EST","Q3.2021",15.2525961538462,-3.08139850542315,0,0,0,0,0,0.178057989151821
"EST","Q4.2021",25.3221737637363,-2.63701557441636,0,0,0,0,0,-0.665883864641682
"EST","Q1.2022",33.6057188644689,-4.38557281298323,0,0,0,0,0,-0.615800946722327
"EST","Q2.2022",12.3466174450549,-6.62897124775296,0,0,0,0,0,-0.307931231162001
"EST","Q3.2022",0,-7.90045082499146,0,0,0,0,0,-0.811883364489805
"EST","Q4.2022",0,-10.4703692690237,0,0,0,0,0,3.26269639692435
"FIN","Q4.2019",0,-1.12568431083081,0,0,0,0,0,-0.933983863629898
"FIN","Q1.2020",33.2440476190476,-1.80455745841298,0.41570189185931,0.41570189185931,4.40644005370869,0.378288721591972,0,4.29153958057649
"FIN","Q2.2020",52.3809523809524,-8.64453286168812,1.24465303441596,0.735584497645049,0.853501802884268,1.79404465469722,1.07666789991561,2.70617766908744
"FIN","Q3.2020",26.0874542124542,-4.58599882029636,0,0,0,0.0249421135115586,0.083140378371862,-1.48615662058841
"FIN","Q4.2020",30.2598443223443,-4.10456092386717,0.582398350494893,0.166904309581513,0,0,0.449789446991773,1.44259835843383
"FIN","Q1.2021",34.375,-5.25194514884954,0,0,0,0,0,1.73191490941925
"FIN","Q2.2021",33.9858058608059,-4.21287495119507,0.083140378371862,0.106835386207843,0.270206229708551,0.120137846747341,0.247758327548149,0.0677121455415914
"FIN","Q3.2021",26.7628205128205,-3.6075921459113,0,0,0,0,0,-0.834475590261881
"FIN","Q4.2021",16.8332944139194,-3.28507261011647,0.0718332869132887,0,0,0.00432329967533682,0.00153809699987945,-2.15693250354465
"FIN","Q1.2022",13.2545707417582,-4.4067188738515,0,0,0,0,0,1.14017377529984
"FIN","Q2.2022",9.375,-4.56626910946291,0,0,0,0,0,0.113275300664689
"FIN","Q3.2022",0.309065934065934,-5.21413822202834,0,0,0,0,0,-0.971045615622195
"FIN","Q4.2022",0,-6.51657816424321,0,0,0,0,0,1.05178656225985
"FRA","Q4.2019",0,-0.645048041879548,0,0,0,0,0,-3.71362687938849
"FRA","Q1.2020",46.7559523809524,-6.08867185774826,2.3580744261057,0.00329800619035762,12.3675232138411,0,0.0577151083312583,1.82096718858267
"FRA","Q2.2020",74.9542124542124,-17.9214382651366,0.473057762929421,0.824501547589405,1.28601029958128,0.537368883641395,0.329800619035762,1.49311125806901
"FRA","Q3.2020",38.5531135531135,-5.73544493478203,0.194994616004894,0,0,0.023498294106298,0,4.15817766171625
"FRA","Q4.2020",57.7724358974359,-6.21969074759703,2.20966414753961,0,0.824501547589405,0,0,-1.64694338468752
"FRA","Q1.2021",57.7266483516483,-6.25786577589465,0.495142036881603,0,0,0.00247350464276822,0,1.90177594452518
"FRA","Q2.2021",57.5219047619048,-5.53656655013761,0.00824501547589405,0,0,0,0,0.735394582930013
"FRA","Q3.2021",31.2048019688645,-3.12915879370254,0.164900309517881,0,0,0,0,2.59165632265349
"FRA","Q4.2021",34.786875,-3.00710078396826,1.14967609638093,0.0155704498645344,0,0.646540068342933,0.00164900309517881,-0.979667419943809
"FRA","Q1.2022",29.2975938644689,-3.51838891646809,0,0,0,0,0,1.67339837708899
"FRA","Q2.2022",8.6685554029304,-3.52272400345171,0,0,0,0,0,0.457670818109477
"FRA","Q3.2022",3.32910943223443,-3.4441156932008,0,0,0,0,0,-0.0432042465926088
"FRA","Q4.2022",0,-3.49002572620722,0,0,0,0,0,-1.61491816611733
"GBR","Q4.2019",0,-0.815292265350542,0,0,0,0,0,1.48445917850729
"GBR","Q1.2020",20.0595238095238,-3.99504891548307,4.7303979513204,0,12.7893588491878,0.906854739015327,0,-0.939150880488981
"GBR","Q2.2020",68.246336996337,-23.4704238495571,1.95569315284067,0.921878750363193,0.451171511947924,0.257934753380628,0.498995692214404,0.219154500707617
"GBR","Q3.2020",53.6172161172161,-10.9117158773463,1.1557209450058,0,0,0.567934699240047,2.52656046690837,7.13453328957077
"GBR","Q4.2020",60.1362179487179,-10.1210540758579,0.897380137264421,0,0,0.0990276351574498,1.628729158132,3.52560038063048
"GBR","Q1.2021",79.6588827838828,-11.5097361298018,1.30366008377353,0,0,0.2391209013324,0.0744432994714074,-0.45285087833264
"GBR","Q2.2021",49.702380952381,-5.77982313645269,0,0,0,0,0,4.17517323189465
"GBR","Q3.2021",32.3202838827839,-4.64479541438643,0,0,0,0.0225585755973962,0,0.694924803244263
"GBR","Q4.2021",27.9528788919414,-3.78934262171911,0.0451171511947924,0,0,0,0,0.627141833621764
"GBR","Q1.2022",21.0186389652015,-3.27504853270764,0,0,0,0,0,-2.50610688612252
"GBR","Q2.2022",2.42673992673993,-3.19642484372099,0,0,0,0,0,-0.587682207016229
"GBR","Q3.2022",0,-3.55784945541427,0,0,0,0,0,-1.6338421919653
"GBR","Q4.2022",0,-3.76517964516324,0,0,0,0,0,-0.607079420553163
"GRC","Q4.2019",0,-0.112876905485147,0,0,0,0,0,0.824842747499815
"GRC","Q1.2020",37.3809523809524,-2.44563405931191,1.64320160464322,3.09405940594059,1.08292079207921,0.322208945032434,0,-0.887804910854868
"GRC","Q2.2020",63.5531135531135,-16.2116546492451,1.86032455616251,0,0.321673757451969,0.0549462273813588,0,2.58385262438011
"GRC","Q3.2020",51.5453296703297,-11.4212496295845,1.30857374530556,0,0,0.66239544213042,0,3.16349684077824
"GRC","Q4.2020",61.5728021978022,-9.47347568079327,0.955712273813588,0.240056333219529,0,0.52925699897576,0.419298395356777,4.62000245576968
"GRC","Q1.2021",78.1707875457875,-6.02874819692857,0.549889040628201,0.933552406964834,0,0.132297712529874,0,3.71798144536581
