Country,Year,GR.real.DI.pc.hh,GR.real.FC.pc.hh,GR.real.GDP.pc,I.CC,I.real.DI.pc.hh,I.real.FC.pc.hh,I.real.GDP.pc,S.CT.hh,S.Debt.hh,S.LUN,S.NFW.hh,S.SR.hh,S.UR
ISL,2017,,5.37,1.69,,,96.07,105.15,,,9.16,,,3.28
ISL,2018,,2.1,2.16,,,98.08,107.42,,,8.5,,,3.1
ISL,2019,,-0.36,-0.25,,,97.72,107.15,,,9.13,,,3.93
ISL,2020,,-4.62,-8.4,,,93.21,98.15,,,12.6,,,6.43
ISL,2021,,5.31,3.64,,,98.15,101.72,,,12.77,,,6.01
ISL,2022,,5.51,6.19,,,103.56,108.02,,,8.69,,,3.72
ISL,2023,,-2.64,1.71,,,100.83,109.87,,,8.4,,,3.38
ISL,2024,,,,,,,,,,,,,
ISR,2015,,1.73,0.04,100.98,,110.23,113.65,,,,,,5.24
ISR,2016,,4.21,2.41,102.43,,114.87,116.39,,,,,,4.81
ISR,2017,,1.6,2.44,102.73,,116.71,119.23,,,,,,4.22
ISR,2018,,1.59,2.21,102.55,,118.57,121.87,,,,,,4.0
ISR,2019,,2.05,1.79,102.25,,121.0,124.05,,,,,,3.8
ISR,2020,,-9.02,-3.15,97.81,,110.09,120.14,,,,,,4.32
ISR,2021,,9.49,7.64,101.47,,120.53,129.32,,,,,,4.96
ISR,2022,,5.37,4.18,98.56,,127.0,134.72,,,,,,3.77
ISR,2023,,-2.97,-0.28,97.8,,123.23,134.34,,,,,,3.42
ISR,2024,,,,,,,,,,,,,
ITA,2015,1.27,1.99,1.04,100.28,88.12,92.59,89.7,92.06,79.63,28.63,310.11,11.1,12.0
ITA,2016,0.96,0.97,1.43,100.4,88.97,93.49,90.98,92.0,79.64,27.46,301.54,11.21,11.75
ITA,2017,0.97,1.41,1.79,100.23,89.83,94.81,92.61,91.87,79.16,26.16,307.68,10.87,11.26
ITA,2018,0.38,0.72,1.04,101.47,90.17,95.49,93.57,91.68,79.23,25.72,287.22,10.63,10.6
ITA,2019,0.05,0.23,0.68,100.69,90.22,95.71,94.21,91.56,80.64,25.27,312.86,10.42,9.93
ITA,2020,-2.06,-10.15,-8.42,99.56,88.36,85.99,86.27,95.87,82.79,33.51,338.92,17.78,9.3
ITA,2021,3.95,6.38,9.49,102.2,91.85,91.48,94.46,93.46,81.84,26.54,359.85,15.78,9.56
ITA,2022,0.0,5.19,4.87,98.22,91.85,96.22,99.06,93.07,78.81,23.19,326.75,11.6,8.07
ITA,2023,-0.05,1.04,0.73,99.53,91.8,97.22,99.79,92.35,75.25,21.82,338.51,10.69,7.67
ITA,2024,,,,99.59,,,,,,,,,
JPN,2015,0.52,-0.24,1.54,99.9,99.43,103.79,102.72,,105.05,12.01,467.39,,3.38
JPN,2016,1.19,-0.25,0.93,100.01,100.61,103.52,103.68,,106.17,11.27,464.94,,3.12
JPN,2017,0.69,1.24,1.86,100.57,101.3,104.8,105.6,,107.73,10.37,482.92,,2.81
JPN,2018,0.66,0.45,0.86,100.53,101.96,105.27,106.51,,109.49,10.17,466.04,,2.44
JPN,2019,1.39,-0.36,-0.14,99.27,103.38,104.89,106.36,,109.37,10.12,472.89,,2.35
JPN,2020,3.73,-4.17,-3.9,97.08,107.23,100.52,102.22,,109.39,14.26,466.65,,2.78
JPN,2021,-3.02,0.89,2.85,98.55,103.99,101.41,105.14,,115.08,13.28,510.25,,2.82
JPN,2022,-0.25,2.64,1.5,97.44,103.73,104.08,106.71,,115.34,10.94,496.84,,2.6
JPN,2023,,1.33,1.97,98.24,,105.47,108.82,,,10.11,,,2.57
JPN,2024,,,,98.78,,,,,,,,,2.55
LTU,2015,,5.12,3.76,100.77,,109.6,120.02,,,12.34,,,9.13
LTU,2016,,5.0,3.88,100.5,,115.09,124.68,,,11.21,,,7.9
LTU,2017,,4.36,5.89,100.17,,120.11,132.02,,,10.52,,,7.12
LTU,2018,,4.41,5.79,102.08,,125.41,139.66,,,8.58,,,6.18
LTU,2019,,3.12,4.98,103.56,,129.32,146.62,,,8.37,,,6.28
LTU,2020,,-3.16,0.07,100.82,,125.23,146.72,,,11.57,,,8.52
LTU,2021,,8.14,6.46,101.87,,135.42,156.19,,,10.99,,,7.14
LTU,2022,,1.15,1.7,98.61,,136.99,158.84,,,9.01,,,5.95
LTU,2023,,-1.73,-1.05,101.47,,134.62,157.16,,,10.15,,,6.88
LTU,2024,,,,103.61,,,,,,,,,
