Country,Quarter,ab_us,health_us,nhealth_us,acc_us,of_us,be_us,gu_us,qf_us,ab_per,ab_ppp,health_per,health_ppp,nhealth_per,nhealth_ppp,acc_per,acc_ppp,of_per,of_ppp,be_per,be_ppp,gu_per,gu_ppp,qf_per,qf_ppp,real_gdp_per,real_gdp_ppp
DEU,Q3.2020,-16.70840364673353,1.157574527101218,-17.865978173834776,0.0,51.335913810575676,10.065865453054073,41.27004835752166,0.0,-0.4644684379825126,-0.4014720796169966,0.03217882712309006,0.027814377874324503,-0.49664726510560264,-0.42928645749132066,0.0,0.0,1.4270610289370396,1.2335071926874264,0.27981588802687085,0.2418641554289085,1.1472451409101687,0.9916430372585197,0.0,0.0,4161.78471555813,3597.31733749424
ITA,Q3.2020,31.347147941889098,0.32714062722420767,31.020007314664888,0.3523052908568385,26.78347216068005,0.1089287100907681,26.67454345058934,0.0,1.6342321224199945,1.340962775218662,0.017054939816199655,0.013994364150211491,1.617177182603795,1.3269684110684503,0.018366858263599573,0.015070853700227704,1.396312373810403,1.145738656197917,0.005678819566427851,0.004659733180673614,1.3906335542439727,1.141078923017247,0.0,0.0,2337.65981585712,1918.15761738117
JPN,Q3.2020,3.981017193766661,9.151441180151792,-5.170423986385174,-1.1272980947761653,-0.6807146187686612,0.0,-0.6807146187686612,-4.725980474253902,0.08722013898142222,0.07476296098246138,0.2004990013263258,0.1718628196221499,-0.11327886234490414,-0.0970998586396874,-0.02469798338319773,-0.02117050476629867,-0.014913782273698661,-0.012783727878110884,0.0,0.0,-0.014913782273698661,-0.012783727878110884,-0.10354154572186403,-0.08875326998179034,5324.85222823165,4564.33255009445
KOR,Q3.2020,7.611109349473992,0.4779750571525323,7.133134292321465,0.43330405987938647,31.18127468912705,0.0,31.18127468912705,-16.443131650412695,0.4646170053367924,0.3529315877299024,0.02917778860912565,0.022163982682470884,0.43543921672766706,0.3307676050474315,0.026450866155976138,0.020092562437513006,1.9034479473938153,1.445893926650307,0.0,0.0,1.9034479473938153,1.445893926650307,-1.003764134107647,-0.7624776224024448,2156.5395714307,1638.14696019506
ESP,Q3.2020,3.7753618885319327,1.3595775049326146,2.4157843835993233,0.0,50.52754274176493,0.5503856618822776,49.97715707988267,0.5032932726526269,0.2851657346450196,0.2101477142769097,0.10269344487972043,0.07567807099811386,0.18247228976529906,0.13446964327879596,0.0,0.0,3.8165146206330736,2.8125112052078594,0.04157247337943966,0.0306360799918761,3.7749421472536326,2.781875125215983,0.03801542741474562,0.028014779505024512,1796.52769554142,1323.91849014805
GBR,Q3.2020,86.82264229997449,32.55619382536485,54.26644847460966,5.126144940203254,13.509836274357895,0.03961828819459834,13.470217986163334,0.0,2.7498247852126223,2.9511552175299274,1.0311115432753961,1.106605128863595,1.718713241937226,1.844550088666332,0.1623539670730261,0.174240831485267,0.4278801202921336,0.45920767616465596,0.001254780411413886,0.0013466500767292111,0.4266253398807205,0.45786102608792767,0.0,0.0,2941.98833677897,3157.38816403392
USA,Q3.2020,6.0,0.0,6.0,18.0,0.0,0.0,0.0,0.0,0.030106916892057356,0.030038729102900064,0.0,0.0,0.030106916892057356,0.030038729102900064,0.0903207506761794,0.09011618730869839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19974.2138871676,19928.975197
MEX,Q3.2020,-0.11288146009630928,-0.030653485430090832,-0.08222797466621845,-0.03555804309890531,-0.029120811158586113,-0.029120811158586113,0.0,-0.04981191382389749,-0.00882471508622773,-0.004739597668135032,-0.002396392419885346,-0.0012870597876809414,-0.006428322666342412,-0.003452537880454104,-0.0027798152070669935,-0.001492989353709881,-0.002276572798891069,-0.0012227067982968909,-0.002276572798891069,-0.0012227067982968909,0.0,0.0,-0.003894137682313642,-0.0020914721549815107,2381.66755915225,1279.15132662444
TUR,Q3.2020,3.2493340902482437,1.9527090644843794,1.2966250257638643,-0.29087422955606,21.27742298738903,-0.11461647923784479,21.392039466626876,-0.15576643801551526,0.32589363786671033,0.13923031936942132,0.19584796239634963,0.08367139208604837,0.13004567547036064,0.05555892728337296,-0.029173380821686745,-0.012463634317864347,2.1340301086919684,0.9117136975182856,-0.011495518878897937,-0.004911187512905035,2.1455256275708665,0.9166248850311907,-0.015622675210519077,-0.006674417068107674,2333.78340649119,997.05355143423
AUT,Q3.2020,-3.654123503856468,2.057690515845574,-5.7118140197020395,0.0,1.8178525792278695,0.0,1.8178525792278695,0.0,-0.8827461198412028,-0.7797972771869173,0.4970872814724865,0.43911527890513014,-1.3798334013136895,-1.2189125560920475,0.0,0.0,0.4391483509145675,0.3879333826875466,0.0,0.0,0.4391483509145675,0.3879333826875466,0.0,0.0,468.59916169989,413.94954015927
BEL,Q3.2020,4.1542265056957355,1.4774852644874343,2.676741241208303,6.383745728147018,3.874602555254846,1.2574775374611842,2.6171250177936614,0.0,0.8389707021431336,0.7480753046982032,0.29838691945507145,0.266059214128825,0.5405837826880622,0.48201609056937844,1.289235343451685,1.1495575708623145,0.7824989855153124,0.6977218221328716,0.2539550530252906,0.22644116556901078,0.5285439324900221,0.4712806565638612,0.0,0.0,555.32196820368,495.15751802582
CZE,Q3.2020,-0.387184548134881,0.6235792448710309,-1.0107637930059123,1.5892575253152907,17.056890492060298,0.010946711428285842,17.045943780632015,0.0,-0.17955106847232383,-0.0950388967058986,0.2891755888325228,0.15306469157078711,-0.4687266573048463,-0.24810358827668577,0.7369945110739159,0.39010152268497694,7.909878964482736,4.186809782073279,0.0050763744128606465,0.002686996115195465,7.9048025900698775,4.184122785958083,0.0,0.0,407.3958784823,215.64034757864
DNK,Q3.2020,1.6560605792137402,0.005284556468731022,1.65077602274501,2.4720926378103982,-0.17410876033898504,3.1619220265415766,-3.33603078688056,0.0,0.4979097763089628,0.5323865869232955,0.0015888502886091185,0.00169886718946409,0.4963209260203536,0.5306877197338311,0.7432572864524074,0.7947227163797006,-0.0523473929649203,-0.05597208811909837,0.9506608083679902,1.0164874986803214,-1.0030082013329098,-1.0724595867994209,0.0,0.0,311.06354290108,332.60254327405
EST,Q3.2020,-0.1736234271695336,-0.0695072085308433,-0.10411621863869025,0.0,0.3068915514227031,0.20024042401510744,0.10665112740759561,0.0,-0.6455444316775463,-0.3781691989838061,-0.2584328172759943,-0.1513936558114537,-0.3871116144015523,-0.22677554317235216,0.0,0.0,1.141044934888677,0.6684405098345283,0.7445083467537152,0.43614368169354156,0.3965365881349622,0.23229682814098662,0.0,0.0,45.91157281875,26.89565871064
