Country,Quarter,ab_us,health_us,nhealth_us,acc_us,of_us,be_us,gu_us,qf_us,ab_per,ab_ppp,health_per,health_ppp,nhealth_per,nhealth_ppp,acc_per,acc_ppp,of_per,of_ppp,be_per,be_ppp,gu_per,gu_ppp,qf_us.1,qf_ppp,gdp_ppp_bn,gdp_real_bn
ESP,Q4.2020,9.969890502811452,0.0,9.969890502811452,0.614662243343852,6.848682303147835,0.04145348267503357,6.807228820472801,0.0,0.7530592386919944,0.5549533429155861,0.0,0.0,0.7530592386919944,0.5549533429155861,0.04642749896748674,0.03421390301242259,0.5173039242304083,0.3812177413209233,0.0031311204566980516,0.00230742241146139,0.5141728037737102,0.3789103189094619,0.0,0.0,1796.52769554142,1323.91849014805
GBR,Q4.2020,199.1047307379088,103.96143780860356,95.14329292930523,3.838457100350162,0.0,0.0,0.0,0.0,6.30599471442656,6.7676927283776465,3.292640385266444,3.5337134586476826,3.0133543291601157,3.2339792697299634,0.12157064323209787,0.13047152676861692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2941.98833677897,3157.38816403392
USA,Q4.2020,1054.3,179.8,874.5,0.0,0.0,0.0,0.0,0.0,5.290287079883107,5.278305348864484,0.9022039428653919,0.9001605821168873,4.388083137017715,4.378144766747597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19974.2138871676,19928.975197
MEX,Q4.2020,0.3149493932092233,0.39297307756147726,-0.07802368435225393,2.1570805635013324,0.17686257428906896,0.0,0.17686257428906896,7.616597629727719,0.02462174620420753,0.013223902387171492,0.030721390767619046,0.0164999130987599,-0.006099644563411516,-0.00327601071158841,0.16863372758199496,0.09057017866377376,0.013826555983473252,0.007425997537289497,0.0,0.0,0.013826555983473252,0.007425997537289497,0.5954414830516733,0.31980104026100237,2381.66755915225,1279.15132662444
TUR,Q4.2020,2.7067390270690295,0.0634282502621979,2.643310776806832,0.2488141156409842,0.08870920405368254,0.08870920405368254,0.0,2.2309957558467346,0.27147378625505836,0.11598072981153694,0.00636156906225933,0.0027178293446503405,0.26511221719279904,0.1132629004668866,0.024954940011303602,0.010661405636398481,0.008897135357080584,0.0038010898443680153,0.008897135357080584,0.0038010898443680153,0.0,0.0,0.2237588695850406,0.09559566451802848,2333.78340649119,997.05355143423
AUT,Q4.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.59916169989,413.94954015927
BEL,Q4.2020,16.647247256710653,5.447501037774227,11.199746218936426,0.0,0.0,0.0,0.0,0.0,3.362010400868554,2.997764938160128,1.100155170720879,0.9809626396368679,2.261855230147675,2.01680229852326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555.32196820368,495.15751802582
CZE,Q4.2020,2.493064598530755,0.32729011819604903,2.165774480334706,0.0,0.0,0.0,0.0,0.0,1.156121582312689,0.611951354986295,0.15177591850091618,0.08033712059516299,1.0043456638117727,0.5316142343911321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.3958784823,215.64034757864
DNK,Q4.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.06354290108,332.60254327405
EST,Q4.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.91157281875,26.89565871064
FIN,Q4.2020,1.051962338366181,0.6196774981599118,0.4322848402062691,0.0,0.0,0.0,0.0,0.0,0.41294855970658767,0.4142851027481056,0.24325484004033035,0.24404215496401593,0.16969371966625732,0.1702429477840897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.92231856471,254.7441596875
GRC,Q4.2020,7.952973843743083,0.36466848586374184,7.5883053578793405,0.4195402329529525,4.049044100742737,3.766230135869561,0.28281396487317556,0.0,3.900371021566792,2.6374108372741394,0.1788440931263204,0.12093345653161613,3.721526928440472,2.5164773807425234,0.205754803063821,0.13913034027304907,1.985769673819277,1.342767246782963,1.8470694322796195,1.2489788563589448,0.13870024153965735,0.09378839042401821,0.0,0.0,301.5447472705,203.90300819506
ISL,Q4.2020,0.028942786299298612,0.028942786299298612,0.0,0.0,0.0,0.0,0.0,0.0,0.1396178800792699,0.15177811908347744,0.1396178800792699,0.15177811908347744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.06914282116,20.72999982729
