Country;Year;ab_us;on_us;health_us;nhealth_us;acc_us;of_us;be_us;gu_us;qf_us;ab_per;on_per;ab_ppp;on_ppp;health_per;health_ppp;nhealth_per;nhealth_ppp;acc_per;acc_ppp;of_per;of_ppp;be_per;be_ppp;gu_per;gu_ppp;qf_per;qf_ppp;;real_gdp_per;total_netspend_usd;total_moving_usd;share_onw0_mo;share_on_mo;share_onw0_t;share_on_t;share_nhealth_mo;share_nhealth_t;share_health_mo;share_health_t;share_acc_mo;share_acc_t;share_nhealth_on;share_health_on;share_of_mo;share_of_t;share_be_mo;share_be_t;share_gu_mo;share_gu_t;share_be_of;share_gu_of;total_intensity_per;total_mo_per
COL;2020;11.16762;11.06005;2.91352;8.14653;0.10756;15.41143;8.53636;6.87507;0.00000;4.14001;4.10013;1.64169;1.60182;1.08009;0.42196;3.02004;1.17985;0.03987;0.01558;5.71325;2.23202;3.16456;1.23631;2.54869;0.99571;0.00000;0.00000;;690.46912883132;26.47148781176720000000000000;26.47148781176720000000000000;41.781006%;41.781006%;41.781006%;41.781006%;30.774740%;30.774740%;11.006267%;11.006267%;0.406330%;0.406330%;73.657249%;26.342751%;58.218994%;58.218994%;32.247382%;32.247382%;25.971612%;25.971612%;55.389796%;44.610204%;3.833841%;3.833841%
CRI;2020;1.25114;0.84666;0.19538;0.65128;0.40448;0.00000;0.00000;0.00000;0.00000;2.11170;1.42901;1.61070;0.92802;0.32977;0.21416;1.09924;0.71386;0.68269;0.44334;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;;91.23348790861;0.84666152667042200000000000;0.84666152667042200000000000;100.000000%;100.000000%;100.000000%;100.000000%;76.923077%;76.923077%;23.076923%;23.076923%;47.773279%;47.773279%;76.923077%;23.076923%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;#DIV/0!;#DIV/0!;0.928016%;0.928016%
HUN;2020;5.99755;5.99755;1.76942;4.22813;0.00000;6.62702;0.00000;6.62702;0.00000;4.00000;4.00000;1.93539;1.93539;1.18009;0.57099;2.81991;1.36441;0.00000;0.00000;4.41982;2.13852;0.00000;0.00000;4.41982;2.13852;0.00000;0.00000;;309.88816247971;12.62457164141080000000000000;12.62457164141080000000000000;47.506951%;47.506951%;47.506951%;47.506951%;33.491307%;33.491307%;14.015644%;14.015644%;0.000000%;0.000000%;70.497698%;29.502302%;52.493049%;52.493049%;0.000000%;0.000000%;52.493049%;52.493049%;0.000000%;100.000000%;4.073912%;4.073912%
POL;2020;44.70973;44.70973;2.16543;42.54430;0.00000;31.58978;12.73782;18.85197;0.00000;7.67699;7.67699;3.67853;3.67853;0.37182;0.17816;7.30517;3.50037;0.00000;0.00000;5.42420;2.59908;2.18718;1.04802;3.23702;1.55106;0.00000;0.00000;;1215.42286899201;76.29951317207330000000000000;76.29951317207330000000000000;58.597663%;58.597663%;58.597663%;58.597663%;55.759599%;55.759599%;2.838063%;2.838063%;0.000000%;0.000000%;95.156695%;4.843305%;41.402337%;41.402337%;16.694491%;16.694491%;24.707846%;24.707846%;40.322581%;59.677419%;6.277610%;6.277610%
AUS;2021;31.27802;31.2780;2.3475;28.9305;0.0000;0.0002;0.0001;0.0001;0.0000;2.09249;2.0925;2.55015;2.5502;0.1570;0.1914;1.9354;2.3588;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;1226.51571721458;31.27822617722780000000000000;31.27822617722780000000000000;99.999335%;99.999335%;99.999335%;99.999335%;92.494002%;92.494002%;7.505333%;7.505333%;0.000000%;0.000000%;92.494617%;7.505383%;0.000665%;0.000665%;0.000285%;0.000285%;0.000380%;0.000380%;42.857143%;57.142857%;2.550169%;2.550169%
CAN;2021;26.46848;21.6853;6.4210;15.2643;4.7832;-0.9786;0.0082;-0.9868;0.0000;1.56008;1.2782;1.54015;1.2582;0.3785;0.3726;0.8997;0.8857;0.2819;0.2775;-0.0577;-0.0568;0.0005;0.0005;-0.0582;-0.0573;0.0000;0.0000;;1723.48815255626;20.70673610033990000000000000;22.66385358535400000000000000;95.682293%;95.682293%;104.725799%;104.725799%;67.350682%;73.716398%;28.331611%;31.009401%;21.104904%;23.099655%;70.389912%;29.610088%;-4.317707%;-4.725799%;0.036224%;0.039648%;-4.353931%;-4.765447%;-0.838967%;100.838967%;1.201443%;1.314999%
FRA;2021;71.42683;54.8268;18.3725;36.4543;16.6000;-5.4391;-5.8973;0.4582;0.0000;2.72954;2.0952;2.52033;1.8860;0.7021;0.6320;1.3931;1.2540;0.6344;0.5710;-0.2079;-0.1871;-0.2254;-0.2029;0.0175;0.0158;0.0000;0.0000;;2907.09024981028;49.38771887346180000000000000;60.26588888591770000000000000;90.974853%;90.974853%;111.013031%;111.013031%;60.489148%;73.812525%;30.485706%;37.200506%;27.544652%;33.611654%;66.489965%;33.510035%;-9.025147%;-11.013031%;-9.785511%;-11.940873%;0.760364%;0.927842%;108.424945%;-8.424945%;1.698871%;2.073066%
DEU;2021;171.15877;171.1588;24.0877;147.0711;0.0000;3.5949;0.3018;3.2930;0.0000;4.75796;4.7580;4.11263;4.1126;0.6696;0.5788;4.0884;3.5338;0.0000;0.0000;0.0999;0.0864;0.0084;0.0073;0.0915;0.0791;0.0000;0.0000;;4161.78471555813;174.75365023988700000000000000;174.75365023988700000000000000;97.942885%;97.942885%;97.942885%;97.942885%;84.159106%;84.159106%;13.783779%;13.783779%;0.000000%;0.000000%;85.926717%;14.073283%;2.057115%;2.057115%;0.172726%;0.172726%;1.884389%;1.884389%;8.396505%;91.603495%;4.199007%;4.199007%
ITA;2021;77.96636;77.9452;12.0121;65.9331;0.0211;1.7575;0.0098;1.7477;0.0000;4.06465;4.0635;3.33543;3.3343;0.6262;0.5139;3.4373;2.8205;0.0011;0.0009;0.0916;0.0752;0.0005;0.0004;0.0911;0.0748;0.0000;0.0000;;2337.65981585712;79.70272240129130000000000000;79.70272240129130000000000000;97.794944%;97.794944%;97.794944%;97.794944%;82.723771%;82.723771%;15.071172%;15.071172%;0.026510%;0.026510%;84.589006%;15.410994%;2.205056%;2.205056%;0.012308%;0.012308%;2.192748%;2.192748%;0.558179%;99.441821%;3.409509%;3.409509%
JPN;2021;-154.64843;61.5008;15.0566;46.4442;-216.1493;0.1174;0.0000;0.1174;1.0234;-3.38819;1.3474;-3.58064;1.1550;0.3299;0.2828;1.0175;0.8722;-4.7356;-4.0593;0.0250;0.0214;0.0000;0.0000;0.0026;0.0022;0.0224;0.0192;;5324.85222823165;61.61819819119030000000000000;61.38347706268400000000000000;100.191192%;100.191192%;99.809536%;99.809536%;75.662439%;75.374220%;24.528753%;24.435316%;-352.129398%;-350.788038%;75.518054%;24.481946%;0.191192%;0.190464%;0.000000%;0.000000%;0.191192%;0.190464%;0.000000%;100.000000%;1.157181%;1.152773%
